source_file,iteration,bbox/AP,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,bbox/AP-DJI-Matrice-600-Pro,bbox/AP-DJI-Mavic-Pro,bbox/AP-DJI-S900,bbox/AP-DJI-Spark,bbox/AP-DNDN-concept,bbox/AP-Fixed-wing-concept,bbox/AP-Shahed,bbox/AP-U842-Sport-Racing,bbox/AP-arm,bbox/AP-boom,bbox/AP-camera,bbox/AP-drone-body,bbox/AP-fuselage,bbox/AP-guard,bbox/AP-horstab,bbox/AP-landing gear,bbox/AP-rotor-stump,bbox/AP-verstab,bbox/AP-wing,segm/AP,segm/AP50,segm/AP75,segm/APl,segm/APm,segm/APs,segm/AP-DJI-Matrice-600-Pro,segm/AP-DJI-Mavic-Pro,segm/AP-DJI-S900,segm/AP-DJI-Spark,segm/AP-DNDN-concept,segm/AP-Fixed-wing-concept,segm/AP-Shahed,segm/AP-U842-Sport-Racing,segm/AP-arm,segm/AP-boom,segm/AP-camera,segm/AP-drone-body,segm/AP-fuselage,segm/AP-guard,segm/AP-horstab,segm/AP-landing gear,segm/AP-rotor-stump,segm/AP-verstab,segm/AP-wing
blur_run1_p0.5_s0.1-1.0.json,1160,53.520318060691274,73.90498811460148,61.8090473046083,74.81720392839514,65.48569561508533,20.034124435413204,83.1434423236748,79.06207000121806,87.08628675114792,61.90446391922391,86.01045672170945,72.39486928856913,74.43052409601306,81.03150709925407,32.71368071126783,45.0242715895188,13.011200592521915,39.24214070555407,48.088980590311714,58.68772245173711,27.315238482063336,15.558542898429323,1.6799500744207083,47.29805486228054,63.20263999421854,22.771191718303633,54.42367184198875,19.7554916615581,57.523587212537755,34.355731358860695,5.803529465939797,3.423032019636711,19.889136092557845,5.282379413259983,47.02118887255597,64.27297111669488,39.57053230352855,63.254976216049606,16.12978916312409,2.3685674769752554,27.514850425998794,11.973869064375249,26.25506186911043,9.451410283456415,15.745145964558315,15.900709722720851,1.2636798299369896,1.5004604135583193,17.71829334131672,44.116589058354045
blur_run2_p0.5_s1.0-2.0.json,1160,52.2950510236722,73.21355525056646,60.12108669169691,74.82144102459716,63.28653444549984,18.686060366516823,83.2083653361461,79.1071050848845,84.20390403169714,63.18018760733944,84.79233738133745,72.23987704699042,73.61116990474883,81.22999596571884,30.91325022977921,40.64609519177374,8.898016147973394,37.65142811459331,46.80231261276943,57.09635146638243,26.502171197325602,15.10238375995526,1.5022188984425204,45.157783225298815,61.761016246615284,21.3919522681837,52.329289916472135,17.855663133026788,58.870394471457196,31.716102461006933,4.764048517623536,3.7601512919870057,18.982908972054677,2.7108502002883386,45.96423900087194,64.6060096153477,39.49883100061187,60.01894941854275,16.13623950152986,1.627651069221995,26.367304426438242,7.018495205737688,24.80779794213651,8.29440099398832,14.255851999129431,13.664230877807167,1.141573508106411,1.1722759869259878,14.971302600620673,41.44802948414369
blur_run3_p0.5_s2.0-3.0.json,1160,51.40803045534072,72.66945293499934,59.2215770531205,71.97356237058605,64.97362406969259,18.20896236045674,81.28898192839301,75.50467178567399,85.75767689583888,62.02743980952636,83.93167440064367,71.44900185801905,74.20337884050171,80.81295955080334,29.430747133668817,38.323863284222256,8.653994144982457,36.53739413903676,45.877265992931164,56.60042286263528,26.32015052309423,12.631461312656986,1.5131614301320166,44.433271699499954,61.45506105921373,20.85715492427432,50.8089560782934,17.01832361323128,55.99044161588088,31.2565844014831,4.839503313528936,3.1272511251012687,15.999665502503854,3.2557239523718353,43.905872415664604,62.852864885150716,38.752782814460666,60.49844465880388,13.424136435804188,1.8235212242551806,25.71182272679368,8.240172030566386,24.640110369660086,8.359458083809324,13.422835412468896,13.919448926567446,0.9501172858656731,1.3554042516454858,14.680958078611466,41.365353381107376
brightness1.json,1160,54.51501281311231,75.44371980928518,62.94918418019743,77.694741589762,66.04218593008996,21.257256459258524,82.37636494389065,78.28700582541892,86.85203332842417,64.2264995683873,85.32294165367857,72.68526947487992,74.30156724113242,80.751063423502,34.5216289158156,45.04046404025886,7.121796741995211,46.966071318041365,48.74929733437939,63.16244079308956,31.841788275269128,17.22096739931816,2.072282395656985,47.59261510489339,66.6931456711023,24.31352583627359,59.65845243603124,19.943071644650697,60.092737203694014,35.43761767145759,6.4729394993332665,7.724435643768348,21.07699239189376,9.846436872590363,46.54357332663038,61.390124142410286,37.3922790621054,60.542838606669434,25.11638943527948,2.9263106154850624,31.380240433141054,6.3714076551133285,33.395167936680245,10.610512849564898,19.04017446841056,17.427765369596756,1.3720042227321,1.8735501458474968,19.255723976869003,48.67106373441022
brightness2.json,1160,54.524047546373254,75.83696505093594,63.012786186425615,78.91183292915886,63.573345543666804,21.738692059364258,81.73903001919497,78.18984071155857,87.7531032710873,64.43296220063392,85.78406367156379,74.13379191103903,73.73490830722385,79.54606762561178,34.15069273552975,45.260457063878164,9.370162019373906,47.316065895912786,48.82027746258473,62.45485722364029,30.573954239202912,16.95869948646569,2.0499580448915182,48.02614961506907,65.66186187662979,24.64298908900267,59.748605771972954,20.56527943032696,62.13549311977589,34.92963636592485,6.556838597633714,6.845058838207844,20.762231837290663,8.630253851676498,46.45948443343159,62.25987445383253,41.00730434892842,59.971114714994165,25.536916990105517,3.014971164408322,30.814454102004678,9.531551636556818,33.83218436226056,13.445128281128174,19.148392619813375,16.909273985464026,1.3295031302889124,1.7302099351142526,19.050018541931998,47.93886546361229
brightness3.json,1160,54.09203539169619,75.38764167707834,62.43369685439381,78.13632593702198,64.48905751810322,21.031219267924957,82.28312794227733,79.06839812481691,86.49282268311266,64.9906029821234,84.81913372971086,71.86683682302532,73.90672893348246,79.15346149869296,33.73429129587831,44.94671268485798,6.741278129035097,47.605243126527164,49.96895000924304,62.59676477315315,30.4424968330136,16.650502896359285,2.077828095418032,46.619765667688334,63.78372621381181,24.03048268729326,59.319299193014174,19.625726296194077,60.33211011211985,34.610096129638386,6.525364759471682,7.335114873815638,19.394626607363282,8.949683474273034,45.60058957071137,61.101879658794324,37.44601076228819,60.36852365951655,25.352501895341174,3.1604949081427867,31.54196137314233,6.687110432650273,33.87306581339084,10.840501399174936,18.822363701282917,17.510747894968027,1.5117434002562986,1.9069724145636502,18.96349996276553,46.21177925613079
contrast1.json,1161,54.61121723346768,75.70540142593013,62.94795703285628,77.90547545679613,64.19757511775441,21.437277046517984,83.33356731838248,79.3125911305658,87.42574753343192,65.85112592927648,86.33134924646441,73.11111454809223,74.18665849359306,80.03064775430862,34.099111934193985,45.46062390139627,8.864080865273491,46.88688280230984,49.4293420556428,61.95203842394557,31.72558302341526,16.67911480567768,2.174504775240826,47.12764271871376,63.63140017596125,23.99218122251565,58.77257864506039,20.176483342447156,62.10962501572772,33.9127811006059,6.302885877736431,7.859046951805139,18.96552700608625,8.460417975138268,47.27995910807887,61.53803756954829,37.9252596411787,61.126748064816674,27.334330996480826,3.076318587720638,30.91045585251052,8.081374925179873,33.207375604859315,9.711055496917155,17.92470660250544,16.915508692469984,1.1766818261779348,1.8027558384453055,16.102027408548246,46.453855079330026
contrast2.json,1160,54.454080661659454,75.57037615156054,62.722310242312986,77.22385267496763,65.29278223594585,21.5041001877951,83.22304962453005,79.45785878385298,87.20852417546787,65.45813312688826,86.19708833158354,74.18931921088492,71.532581574556,79.87691631498082,33.884087177291406,44.89559179358754,8.458969986901806,47.44222354239944,48.510712038867865,62.36523733546294,31.32225586543535,16.818111055485005,1.9591806493416137,47.14117177120745,64.68652021280492,24.102619186893353,59.284848432296975,20.351296696531413,62.37657871142556,34.42459780233295,6.085542607934082,8.148766192394806,20.638131835262566,9.216875756851078,46.810989290541436,61.799241649991785,39.499256932458614,58.904230259076506,27.170508288476054,2.6542222988685893,30.479433043084924,7.385113776406027,33.789692183328754,8.892679861342776,17.54919567011464,16.99362838333126,1.305124117204921,1.633937275827319,17.50464072678432,47.57409700962728
contrast3.json,1160,54.42315804947885,75.5271476688226,62.78159107193847,77.70289086135986,65.47074730746752,21.536533576940922,80.94462127447426,80.13860495228472,86.66046583160566,64.02877260531457,87.20086091334507,73.75323031663315,74.33049453523314,79.20278836890441,34.302959276612874,46.6723392199046,8.69982977417728,47.48761333678732,48.80069982450598,62.77038057168115,30.870601207118153,16.523878489034473,2.311323572962775,45.499828810099245,63.840710059419145,24.26003671628737,59.21025419238999,21.04235582312088,62.89559850239701,35.48736579300461,6.157108084509146,7.523821274732045,22.10959110220763,9.257468805140146,48.10710501659549,62.47715788132455,40.506260462428635,60.50149160815923,22.63142152496514,2.7697428208282417,30.424836669624927,7.375269814165549,33.57921189894014,11.250727633209037,18.79135600830944,15.667859721289137,1.2726903544539783,1.919755656077012,18.6623532329678,46.112576124041865
crop1.json,1160,46.60961671980172,67.30079192710072,53.453797338593304,53.08837656209818,57.29265963297742,18.30100605872099,64.61882774956887,72.50241824892012,65.19834878687509,44.38889390685507,80.62016092214202,67.43349304382612,67.72766901463577,62.994682719002896,26.04875291949898,44.88571045730162,9.44680649267246,37.64450772275158,43.640333124325835,49.129096545757896,25.767372276918444,14.45678306967114,2.6279988174882054,45.22050672217937,61.23035513584137,21.48948390617975,53.09096457450375,17.52073446221455,51.361569760806034,32.020846670638676,5.841195993112621,5.181945302975003,17.537177888644987,6.4210718834044345,30.27404366708787,59.74659174511685,36.23433318231032,59.032167810234284,21.133701145079815,2.2980529771676683,31.6173598605973,8.203836491825246,26.632102061698003,8.643563043055702,13.79108937929281,13.688941228240298,1.4683603576932636,2.161058678693189,18.930275640895005,45.3045218734032
